Ticker,Date,Weight
STRL,8/6/2026,0.94%
NBIS,8/6/2026,0.85%
CRS,8/6/2026,2.22%
MKSI,8/6/2026,1.21%
TPR,8/6/2026,3.41%
ECHO,8/6/2026,1.65%
APP,8/6/2026,1.12%
GLW,8/6/2026,1.10%
AMAT,8/6/2026,1.35%
FLEX,8/6/2026,1.31%
MRVL,8/6/2026,1.09%
VRT,8/6/2026,1.37%
HPE,8/6/2026,1.77%
ROIV,8/6/2026,2.84%
JBL,8/6/2026,2.03%
VIK,8/6/2026,3.48%
HWM,8/6/2026,3.27%
NVT,8/6/2026,1.84%
TWLO,8/6/2026,1.96%
UAL,8/6/2026,2.78%
KLAC,8/6/2026,1.30%
UI,8/6/2026,2.50%
IBKR,8/6/2026,2.48%
MTSI,8/6/2026,1.37%
CAT,8/6/2026,2.08%
APH,8/6/2026,2.36%
LSCC,8/6/2026,1.40%
FTI,8/6/2026,2.91%
AS,8/6/2026,2.97%
VLO,8/6/2026,2.74%
FN,8/6/2026,1.32%
PWR,8/6/2026,2.22%
ALAB,8/6/2026,0.90%
AVGO,8/6/2026,2.47%
ANET,8/6/2026,1.83%
CSCO,8/6/2026,3.08%
ILMN,8/6/2026,1.74%
SNDK,8/11/2026,0.75%
BE,8/11/2026,0.80%
LITE,8/11/2026,1.04%
RKLB,8/11/2026,1.15%
MU,8/11/2026,1.11%
WDC,8/11/2026,0.88%
STX,8/11/2026,1.11%
GH,8/11/2026,2.06%
TSEM,8/11/2026,1.06%
CIEN,8/11/2026,1.27%
RVMD,8/11/2026,2.78%
GEV,8/11/2026,1.83%
AMD,8/11/2026,1.36%
COHR,8/11/2026,0.98%
DELL,8/11/2026,1.34%
TER,8/11/2026,1.22%
FIX,8/11/2026,1.61%
INTC,8/11/2026,1.24%
ATI,8/11/2026,2.38%
LRCX,8/11/2026,1.33%
TWLO,8/11/2026,2.06%
STRL,8/11/2026,0.99%
TPR,8/11/2026,3.34%
MKSI,8/11/2026,1.23%
CRS,8/11/2026,2.03%
NBIS,8/11/2026,0.81%
ECHO,8/11/2026,1.71%
GLW,8/11/2026,1.16%
FLEX,8/11/2026,1.38%
AMAT,8/11/2026,1.41%
MRVL,8/11/2026,1.11%
HPE,8/11/2026,1.85%
ROIV,8/11/2026,2.83%
JBL,8/11/2026,2.11%
VRT,8/11/2026,1.44%
NVT,8/11/2026,1.93%
VIK,8/11/2026,3.24%
HWM,8/11/2026,3.11%
KLAC,8/11/2026,1.39%
IBKR,8/11/2026,2.58%
MTSI,8/11/2026,1.44%
FTI,8/11/2026,3.01%
UI,8/11/2026,2.63%
VLO,8/11/2026,2.87%
CAT,8/11/2026,2.14%
UAL,8/11/2026,2.67%
NTRA,8/11/2026,2.36%
APH,8/11/2026,2.40%
LSCC,8/11/2026,1.44%
MDB,8/11/2026,2.12%
FN,8/11/2026,1.31%
ILMN,8/11/2026,2.52%
ANET,8/11/2026,1.89%
PWR,8/11/2026,2.20%
AVGO,8/11/2026,2.52%
MTZ,8/11/2026,1.29%
CSCO,8/11/2026,0.18%
SNDK,8/13/2026,0.91%
BE,8/13/2026,0.91%
LITE,8/13/2026,1.15%
RKLB,8/13/2026,1.17%
WDC,8/13/2026,1.00%
STX,8/13/2026,1.24%
MU,8/13/2026,1.26%
CIEN,8/13/2026,1.42%
GH,8/13/2026,2.06%
TSEM,8/13/2026,1.13%
AMD,8/13/2026,1.48%
FIX,8/13/2026,1.71%
NBIS,8/13/2026,0.98%
GEV,8/13/2026,1.97%
INTC,8/13/2026,1.37%
RVMD,8/13/2026,2.88%
STRL,8/13/2026,1.08%
DELL,8/13/2026,1.50%
COHR,8/13/2026,1.01%
LRCX,8/13/2026,1.49%
TWLO,8/13/2026,2.02%
GLW,8/13/2026,1.25%
FLEX,8/13/2026,1.48%
ECHO,8/13/2026,1.82%
CRS,8/13/2026,2.05%
ATI,8/13/2026,2.37%
JBL,8/13/2026,2.26%
ROIV,8/13/2026,2.96%
VRT,8/13/2026,1.56%
HPE,8/13/2026,1.95%
TPR,8/13/2026,2.14%
TER,8/13/2026,1.38%
MRVL,8/13/2026,1.23%
VIK,8/13/2026,3.37%
MTSI,8/13/2026,1.57%
HWM,8/13/2026,3.23%
IBKR,8/13/2026,2.75%
AMAT,8/13/2026,1.56%
FTI,8/13/2026,3.12%
UI,8/13/2026,2.73%
MKSI,8/13/2026,1.36%
CAT,8/13/2026,2.28%
KLAC,8/13/2026,1.54%
LSCC,8/13/2026,1.54%
MDB,8/13/2026,2.23%
MTZ,8/13/2026,1.44%
NVT,8/13/2026,2.05%
APH,8/13/2026,2.50%
UAL,8/13/2026,2.75%
NTRA,8/13/2026,2.34%
PWR,8/13/2026,2.33%
AVGO,8/13/2026,2.62%
ALAB,8/13/2026,0.97%
VLO,8/13/2026,3.01%
FN,8/13/2026,0.52%
SNDK,8/20/2026,0.94%
BE,8/20/2026,0.82%
LITE,8/20/2026,1.04%
RKLB,8/20/2026,1.16%
WDC,8/20/2026,1.01%
MU,8/20/2026,1.32%
STX,8/20/2026,1.17%
GH,8/20/2026,2.20%
CIEN,8/20/2026,1.25%
MRNA,8/20/2026,1.36%
TSEM,8/20/2026,1.02%
RVMD,8/20/2026,2.89%
FIX,8/20/2026,1.64%
NBIS,8/20/2026,0.85%
INTC,8/20/2026,1.25%
GEV,8/20/2026,1.88%
DELL,8/20/2026,1.38%
LRCX,8/20/2026,1.41%
ECHO,8/20/2026,1.91%
STRL,8/20/2026,1.10%
TWLO,8/20/2026,1.78%
FLEX,8/20/2026,1.37%
GLW,8/20/2026,1.19%
ATI,8/20/2026,2.34%
CRS,8/20/2026,2.00%
COHR,8/20/2026,0.85%
MRVL,8/20/2026,1.27%
ROIV,8/20/2026,3.08%
TPR,8/20/2026,2.34%
AMD,8/20/2026,1.51%
FTI,8/20/2026,3.18%
HWM,8/20/2026,3.31%
JBL,8/20/2026,1.92%
UI,8/20/2026,2.58%
TER,8/20/2026,1.26%
IBKR,8/20/2026,2.85%
VRT,8/20/2026,1.43%
HPE,8/20/2026,1.76%
VIK,8/20/2026,2.44%
NTRA,8/20/2026,2.63%
AMAT,8/20/2026,1.43%
VLO,8/20/2026,3.31%
MTSI,8/20/2026,1.27%
RPRX,8/20/2026,4.54%
MKSI,8/20/2026,1.27%
TEAM,8/20/2026,2.05%
NEM,8/20/2026,2.92%
APH,8/20/2026,2.28%
PWR,8/20/2026,2.24%
KLAC,8/20/2026,1.46%
EXPE,8/20/2026,2.74%
CAT,8/20/2026,2.23%
BNY,8/20/2026,3.57%
